Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Hot Buns,1983,,"The late sixties were a tough-and-tender time when many an over-sexed young girl literally put her ass on the line in order to maintain her vaginal virginity. The idea of backing into the sex act while keeping up a good front, is the stuff that bestsellers are made of. So, Chris, a sensuous,successful author, with encouragement from her lover, Harry, who decides to document a book to be called ""The Bottom Line,"" the real-rear-way that things went down, by bringing some of the ""old gang"" together for a hot weekend of raw reflections. Getting together are Vin, a businessman who has lost his sexually adventurous nature; his wife Britt, who longs for excitement; and B.R., a lady with a preference for the softer things in life, but who can handle the harder facts of lust. Rounding out the group are Britt's brother Chico and B.R.'s playmate, Lee.",en,https://image.tmdb.org/t/p/w500/7gBPZl307TB5s0ajCzbnnXfcI5H.jpg,0,N/A,
Dört Yanım Cehennem,1982,"18, 80",Drama about a former criminal who tries to walk away from the life of crime.,tr,https://image.tmdb.org/t/p/w500/hdfiRyZLBEQdCuoaOZJCINrirfw.jpg,0,Çetin İnanç,Anıt  Film
Doctor Yes: The Hyannis Affair,1983,"9648, 10770","A man falls for his nubile stepdaughter. When his hot wife finds out, she is furious. Murder ensues. It's obvious who the guilty party is. Or is it?",en,https://image.tmdb.org/t/p/w500/aJlHdkoiktTCJg64A5iMSfdXmLk.jpg,2,Jack Nixon-Browne,"After Dark Video, Playboy Enterprises, PKO Television, Glen Warren Productions"
Erkekçe,1983,"35, 12",,tr,https://image.tmdb.org/t/p/w500/o3NLU87fia4vHw4teyfYXoKQpQI.jpg,1.5,Çetin İnanç,Anıt  Film
Los extraterrestres,1983,35,"Alberto and Jorge are two friends who work as waiters and during a trip they meet an alien with extraordinary powers. It is sought by a Russian organization, and friends must hide it from it.",es,https://image.tmdb.org/t/p/w500/ia2AB4D8fYVCDGWUYvKfBdj7f87.jpg,5.5,Enrique Carreras,Aries Cinematográfica Argentina
Los fierecillos se divierten,1983,35,,es,https://image.tmdb.org/t/p/w500/rhFJeYVL9Er6iCrnW68csaBTxnj.jpg,5.7,Enrique Carreras,Aries Cinematográfica Argentina
Execution,1983,12,Police commissar Murat reaps justice upon the criminal underworld that poisoned his son.,tr,https://image.tmdb.org/t/p/w500/pS5KPiV6ik6hYfBDKe6k6BpXz0M.jpg,7,Çetin İnanç,Anıt  Film
Last Step to Death,1983,"12, 28","Ultra hardcore mercenary Kaan, the kind of guy who carries an astonishing amount of large knives on his body at all times, is hired by some guy in a suit with a nervous tic (Patron) to rescue a Professor who has found the cure for leukaemia from some unnamed and unexplained heavily armed evildoers holding him somewhere out in the country. Tic guy is willing to pay Kaan 100 million TL for his efforts, so there's no reason for the mercenary not to take the offer...",tr,https://image.tmdb.org/t/p/w500/kMreVhr8jBVZjeD2s1zFShOx8AR.jpg,3.8,Çetin İnanç,Anıt  Film
The Death of a Talented Cobbler,1983,80,,cs,https://image.tmdb.org/t/p/w500/4G1ODGwFMpehnKbWh9zpuxaYMO6.jpg,5,Jan Schmidt,Filmové studio Barrandov
That's Outrageous,1983,35,A fashion photographer attempts to score with two sisters he meets in France.,en,https://image.tmdb.org/t/p/w500/dW9BcIFZEwQsp9aVLD8VXRcWw1f.jpg,7,Fred J. Lincoln,
Titanes en el Ring Contraataca,1984,35,,es,https://image.tmdb.org/t/p/w500/kk9naEn0fGTlr2sZ0YILULboos8.jpg,0,Máximo Berrondo,Producciones del Plata
Wild Blood,1983,"28, 12",Former war veteran Kan Rambo has to fight against an evil gang of bikers when they refuse to let him enter their village and live a peaceful life.,tr,https://image.tmdb.org/t/p/w500/8h603qeX13ieaTrqMkEXgL82kRE.jpg,4.5,Çetin İnanç,Anıt  Film
Únos Moravanky,1983,"35, 10402",,cs,https://image.tmdb.org/t/p/w500/6SO9pAVNNncVII7eZJxu0dWMVw3.jpg,1.5,Milan Muchna,Filmové studio Barrandov
Babylon Blue,1983,18,"Martin is released from prison. He served six months for receiving money for sex...big money. He's a first class gigilo. When Missie (Sharon Kane) picks him up and takes him home, he's right back where he began.",en,https://image.tmdb.org/t/p/w500/wWUhThFJosk2xJY7Dde3iWjkgp5.jpg,5,Henri Pachard,"Sear Sound, Videart Opticals, New York Releasing"
Os Campeões,1983,12,,pt,https://image.tmdb.org/t/p/w500/yv9qHVsWQ9f7MtbcmUvnOXPSBdo.jpg,0,Carlos Coimbra,
Secret Force,1983,"12, 80",An investigation begins when two policemen are killed in an unknown manner.,tr,https://image.tmdb.org/t/p/w500/ml36jjejXIm3NGghv88rkp5nXaJ.jpg,4,Kunt Tulgar,Kunt Film
The Secret of the Selenites,1984,"10751, 16, 14, 878","The film follows the adventures of Baron Munchausen, who is prompted to travel to the moon by his cousin Sirius, an astrologer convinced that it is inhabited by an ancient race called the Selenites. The Selentites incidentally possess the secret of immortality. The Baron takes up his cousin's offer and travels to the moon using a tall masted ship pulled by three hot air balloons and he is aided by his super-ability friends (who are from the prequel to this film, The Fabulous Adventures of the Legendary Baron Munchausen). When they reach the moon, they are initially placed in jeopardy as their craft lands in a crater and they fall into a subterranean sea inhabited by monsters...",fr,https://image.tmdb.org/t/p/w500/cI2EIAKfgYoaIlchHFSUUbxEVYj.jpg,6.9,Jean Image,"films jean image, Films A2"
Crazy of all Greece,1983,35,"Thanasis works in the café he inherited from his father and hopes that his children will manage to complete their studies. This desire is based on his own dream of becoming a judge, which never happened due to his father's objections.",el,https://image.tmdb.org/t/p/w500/2CBh4yeFlPZmfdf5meSp8g9lcij.jpg,4.3,Dinos Dimopoulos,Thanasis Vengos
The Lost Generation,1983,18,"The plot follows a group of women who struggle in Hong Kong, most of them illegal immigrants from mainland China.",cn,https://image.tmdb.org/t/p/w500/yW0I5sXGB8VEOaUkqIaBq7dba6l.jpg,1,Liu Chia-chang,Gong Cheung Chik Aau
Un loco en acción,1983,35,"An espionage episode starring a super agent and a coffee peddler, with a great physical resemblance.",es,https://image.tmdb.org/t/p/w500/iRMOeBVO1zufyaXEu2RhAN9u16W.jpg,0,Enrique Dawi,
Broken Marriage,1983,18,"Trapped in a world of hectic schedules, pressure, and little time for each other, married couple Ellen and Rene decide to have a temporary separation.",tl,https://image.tmdb.org/t/p/w500/oWDcYvJln4fpcGQVXPXf33m7MfT.jpg,8.8,Ishmael Bernal,Regal Entertainment Inc.
Fighting Duel of Death,1981,28,"After being released from prison, Chen is attacked by his old nemesis but, at the urging of his wife, agrees not to seek revenge. Chen finds himself targeted by the villain and his cohorts after he saves an old woman.",zh,https://image.tmdb.org/t/p/w500/vyVxVQ805z0xxr1FxZPUhxyvEqg.jpg,0,Wang Chungkuang,
Garota Dourada,1984,"18, 12",The romance between a surfer and a beach girl.,pt,https://image.tmdb.org/t/p/w500/gOKyjm2ducYo8tcWisV78MVOWC6.jpg,3.3,Antônio Calmon,LC Barreto
Fast Fingers,1983,"80, 28, 35","Two young pickpockets follow around after their uncle, the King of Pickpockets, just released from jail. Can the King keep on the straight and narrow this time ?",cn,https://image.tmdb.org/t/p/w500/cEhmvlE2c9dd5zyiNdwhE8fnA2i.jpg,6.5,Hsu Hsia,Shaw Brothers
Marathon,1983,"18, 35",Everyone is invited to the sex party to end all sex parties!,en,https://image.tmdb.org/t/p/w500/znU9pnS0ZEbqIcvGmLa3UXDZFTe.jpg,6,Carlos Tobalina,Diamond Films
Minsan Pa Nating Hagkan Ang Nakaraan,1983,"18, 10749",Rod leaves Helen for his career and she falls in love with another. Rod becomes successful and goes back to Helen who obviously still feels strongly for him. An illicit affair ensues.,tl,https://image.tmdb.org/t/p/w500/tpWGmTl64O8D3qY2wdVjXcOo4JA.jpg,3.5,Marilou Diaz-Abaya,Viva Films
Paano Ba Ang Mangarap?,1983,18,"The story of Lisa & Eric and how they fought for their love. Lisa got pregnant with Benny, Eric's brother. However, Benny died in a motorcycle accident. Eric was kind enough to marry Lisa but Eric's mother disapproved of the relationship and makes life hell for Lisa.",tl,https://image.tmdb.org/t/p/w500/qeGQamzkhuMRkKbpMTt3CTyj67F.jpg,0,Eddie Garcia,Viva Films
Parahyba Mulher Macho,1983,"18, 36","Account an important part of the history of Brazil, through its main character, Anayde Beiriz a poet, journalist and revolutionary and libertarian teacher of the early twentieth century, known for its sexual liberalism, which shocked the pre-Revolution in the state of Paraíba during 1930. His love for João Dantas eventually forge João Pessoa's death, at that time, governor of of Paraíba. These events served as a trigger for the a revolution.",pt,https://image.tmdb.org/t/p/w500/y6onZ990y8oh18UqYoznCFtRBa4.jpg,4.5,Tizuka Yamasaki,
Adutha Varisu,1983,"18, 28, 80","When the sole person to inherit the family wealth is missing, her grandmother desperately searches for her. A conniving relative, who also killed the girl's parents, finds a look-alike to help him gain the wealth.",ta,https://image.tmdb.org/t/p/w500/woe2j15wKeuXFA2AortdezKBvos.jpg,5.5,S. P. Muthuraman,Dwarakish Chitra
Anarchism in America,1983,99,"A colorful and provocative survey of anarchism in America, the film attempts to dispel popular misconceptions and trace the historical development of the movement. The film explores the movement both as a native American philosophy stemming from 19th century American traditions of individualism, and as a foreign ideology brought to America by immigrants. The film features rare archival footage and interviews with significant personalities in anarchist history including Murray Boochkin and Karl Hess, and also live performance footage of the Dead Kennedys.",en,https://image.tmdb.org/t/p/w500/82zGHBedJtTLdwgXFa6T8HCiHlX.jpg,6.1,Steven Fischler,
The Boys in Blue,1982,"35, 10751","Sgt. Cannon (Tommy Cannon) and PC Ball (Bobby Ball) run the police station in the quiet town of Little Botham. When the station is threatened with closure due to a lack of crime, they decide to invent some crimes to justify their existence. When they try to steal a painting from a local rich businessman (Roy Kinnear), they accidently stumble across a gang of real art thieves who have just stolen £1 million worth of paintings. It is up to the two bungling cops to stop them escaping with their haul.",en,https://image.tmdb.org/t/p/w500/jQaIMGsF2gy7HhP4Rxe1Ub4ExBf.jpg,5.2,Val Guest,MAM
Himmatwala,1983,"28, 35, 18","A poor and wronged woman's son returns from the big city to avenge his father, a honest school teacher.",hi,https://image.tmdb.org/t/p/w500/9TXrTPi2SQR4rjUOG4UdECtW61s.jpg,4.2,K Raghavendra Rao,
Jaani Dost,1983,,Two childhood friends face obstacles and challenges after they confront gangsters and each other.,en,https://image.tmdb.org/t/p/w500/9lxuCBUUq8V0qaRXD9hgPTvQ6rH.jpg,0,N/A,
Justice Chaudhury,1983,"18, 28, 35","An honest and upright lawyer becomes a judge; marries his disabled daughter to a crook, and is blackmailed to compromise his judicial judgements.",hi,https://image.tmdb.org/t/p/w500/jWXtN3f32XL3lmHUqF58nLyKm8O.jpg,3.5,K Raghavendra Rao,
Kalakaar,1983,"18, 10402",Poor and orphan Ravi Kumar is gifted with good singing attributes. He meets wealthy Radha Khanna and with her recommendation he lands his first singing assignment and this takes him to the way of stardom. Soon Radha starts to witness changes in Ravi's behavior towards her; which makes them split up. Unknown to Radha that Ravi has been diagnosed with cancer and does not have long to live.,hi,https://image.tmdb.org/t/p/w500/stUxEvIHK1QAYEmFVGBsMtYwQrS.jpg,0,P. Sambasiva Rao,
Lanke Bindelu,1983,,"Film starring Anjali Devi, Krishna Ghattamaneni and Jayasudha",en,N/A,0,N/A,
The Wizard and the Sheriff,1983,"35, 14",Powerful magician goes to jail for creating illusion of affluence in Brazilian town.,pt,N/A,5.2,Fernando Coni Campos,"Embrafilme, Sani Filmes"
Playing with Fire,1983,,"A divorced man falls in love and then marries a divorced woman in the first third of the film. The man, Danny, has one son, Les, and the woman, Cathy, has two daughters. However, the two sets of kids haven't ever seen each other. So when everybody meets at the dinner table, Dan discovers he has had an affair with Cathy's older daughter.",en,https://image.tmdb.org/t/p/w500/rpP6mZK0rKKCwjmKuLZlLQgKqgO.jpg,5,Kirdy Stevens,Intropics Video
Rama Rajyamlo Bheermaraju,1983,28,Krishna is a rich guy goes out act as a poor soul to help common man and helps Sridevi's family,te,N/A,0,N/A,
Sandhippu,1983,18,,ta,N/A,0,C. V. Rajendran,
El escarabajo,1983,18,Historia de un ciclista en Colombia,es,https://image.tmdb.org/t/p/w500/y0MNgsVoyhXNdbWH05iySygIJOm.jpg,0,Lisandro Duque Naranjo,Grupo Comunicadores Marcos Jara Asociados
Swedish Erotica Superstars featuring Bridgette Monet,1983,,"During the early 80's, the name Bridgette Monet was synonymous with high-quality hardcore. Brigette was a busty brunette considered  one of the most gorgeous women in the porn industry.  In this film, she discusses her film career and the impact Paul Vatelli had on it. She also hosts a series of Swedish Erotica loops highlighting some true classics of the genre.  We see the truck stop encounter, the ski lodge escapade, the lusty interview, and the tender intimacy of a couple enjoying Swedish Erotica in the privacy of their own home.",en,https://image.tmdb.org/t/p/w500/pkSVxjUTwQypTwCqxpnyA2pkD0r.jpg,3,N/A,Caballero Home Video
